2015,"Absent-Minded Professor, The (1961)",Children|Comedy|Fantasy
42015,Casanova (2005),Action|Adventure|Comedy|Drama|Romance
115713,Ex Machina (2015),Drama|Sci-Fi|Thriller
117529,Jurassic World (2015),Action|Adventure|Sci-Fi|Thriller
119145,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime
120466,Chappie (2015),Action|Thriller
120635,Taken 3 (2015),Action|Crime|Thriller
122882,Mad Max: Fury Road (2015),Action|Adventure
122892,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi
125916,Fifty Shades of Grey (2015),Drama
127098,Louis C.K.: Live at The Comedy Store (2015),Comedy
127146,Kurt Cobain: Montage of Heck (2015),Documentary
127152,Going Clear: Scientology and the Prison of Belief (2015),Documentary
127188,Advantageous (2015),Children|Drama|Sci-Fi
128842,Dragonheart 3: The Sorcerer's Curse (2015),Action|Adventure|Fantasy
129354,Focus (2015),Comedy|Crime|Drama|Romance
129937,Run All Night (2015),Action|Crime|Drama|Mystery|Thriller
130448,Poltergeist (2015),Horror|Thriller
130490,Insurgent (2015),Action|Romance|Sci-Fi
130520,Home (2015),Animation|Children|Comedy|Fantasy|Sci-Fi
130578,"Gunman, The (2015)",Action|Thriller
131013,Get Hard (2015),Comedy
131656,Shaun the Sheep Movie (2015),Adventure|Animation|Children
131796,Woman in Gold (2015),Drama
132157,Paul Blart: Mall Cop 2 (2015),Comedy
132569,Comedy Central Roast of Justin Bieber (2015),Comedy
132594,A Royal Night Out (2015),Drama|Romance|Thriller
132796,San Andreas (2015),Action|Drama|Thriller
133419,Pitch Perfect 2 (2015),Comedy
133545,Just Before I Go (2015),Comedy|Drama|Romance
134170,Kung Fury (2015),Action|Comedy
134368,Spy (2015),Action|Comedy
134393,Trainwreck (2015),Comedy
134783,Entourage (2015),Comedy
134853,Inside Out (2015),Animation|Children|Comedy
135887,Minions (2015),Adventure|Animation|Children|Comedy
