2014,Freaky Friday (1977),Children|Comedy|Fantasy
108188,Jack Ryan: Shadow Recruit (2014),Action|Drama|Thriller|IMAX
108190,Divergent (2014),Adventure|Romance|Sci-Fi|IMAX
108571,Mitt (2014),Documentary
108932,The Lego Movie (2014),Action|Adventure|Animation|Children|Comedy|Fantasy
109372,About Last Night (2014),Comedy|Romance
109374,"Grand Budapest Hotel, The (2014)",Comedy|Drama
109487,Interstellar (2014),Sci-Fi|IMAX
109569,3 Days to Kill (2014),Action|Crime|Drama
109673,300: Rise of an Empire (2014),Action|Drama|War|IMAX
109846,Mr. Peabody & Sherman (2014),Adventure|Animation|Comedy
110102,Captain America: The Winter Soldier (2014),Action|Adventure|Sci-Fi|IMAX
110127,Noah (2014),Adventure|Drama|IMAX
110350,Free to Play (2014),Documentary
110501,The Raid 2: Berandal (2014),Action|Crime|Thriller
110553,The Amazing Spider-Man 2 (2014),Action|Sci-Fi|IMAX
110586,Calvary (2014),Comedy|Drama
110611,Cold in July (2014),Drama|Thriller
110730,Transcendence (2014),Drama|Sci-Fi|IMAX
110771,"Other Woman, The (2014)",Comedy|Romance
111113,Neighbors (2014),Comedy
111360,Lucy (2014),Action|Sci-Fi
111362,X-Men: Days of Future Past (2014),Action|Adventure|Sci-Fi
111364,Godzilla (2014),Action|Adventure|Sci-Fi|IMAX
111375,Walk of Shame (2014),Comedy
111443,Chef (2014),Comedy
111460,Rosemary's Baby (2014),Horror|Thriller
111529,"Normal Heart, The (2014)",Drama
111617,Blended (2014),Comedy
111659,Maleficent (2014),Action|Adventure|Children|IMAX
111743,A Million Ways to Die in the West (2014),Comedy|Western
111759,Edge of Tomorrow (2014),Action|Sci-Fi|IMAX
111815,Once Upon a Time in Shanghai (2014),Crime
111921,The Fault in Our Stars (2014),Drama|Romance
112070,Maps to the Stars (2014),Drama
112138,22 Jump Street (2014),Action|Comedy|Crime
112171,"Equalizer, The (2014)",Action|Crime|Thriller
112175,How to Train Your Dragon 2 (2014),Action|Adventure|Animation
112183,Birdman (2014),Comedy|Drama
112290,Boyhood (2014),Drama
112370,Transformers: Age of Extinction (2014),Action|Adventure|Sci-Fi
112421,Frank (2014),Comedy|Drama|Mystery
112450,They Came Together (2014),Comedy|Romance
112460,Planes: Fire & Rescue (2014),Adventure|Animation|Comedy
112515,"Babadook, The (2014)",Drama|Horror|Thriller
112552,Whiplash (2014),Drama
112556,Gone Girl (2014),Drama|Thriller
112580,"Angriest Man in Brooklyn, The (2014)",Comedy|Drama
112582,Life Itself (2014),Documentary
112623,Dawn of the Planet of the Apes (2014),Sci-Fi
112788,Sex Tape (2014),Comedy
112804,I Origins (2014),Drama|Sci-Fi
112818,"Purge: Anarchy, The (2014)",Action|Horror|Thriller
112852,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi
112897,The Expendables 3 (2014),Action|Adventure
112940,A Most Wanted Man (2014),Thriller
113103,Step Up All In (2014),Drama|Musical|Romance
113240,Winter Sleep (Kis Uykusu) (2014),Drama
113348,Teenage Mutant Ninja Turtles (2014),Action|Adventure|Comedy
113378,"Giver, The (2014)",Drama|Sci-Fi
113453,Let's Be Cops (2014),Comedy|Crime
113573,Sin City: A Dame to Kill For (2014),Action|Crime|Thriller
113696,Are You Here (2014),Comedy
113705,"Two Days, One Night (Deux jours, une nuit) (2014)",Drama
113862,"Guest, The (2014)",Thriller
114007,Before I Go to Sleep (2014),Mystery|Thriller
114028,Pride (2014),Comedy|Drama
114060,The Drop (2014),Crime|Drama|Thriller
114078,Seinto Seiya: Legend of Sanctuary (Seinto Seiya: Legend of Sanctuary) (2014),Animation
114180,"Maze Runner, The (2014)",Action|Mystery|Sci-Fi
114244,"Riot Club, The (2014)",Drama|Thriller
114246,"Walk Among the Tombstones, A (2014)",Action|Crime|Mystery|Thriller
114265,Laggies (2014),Comedy|Romance
114342,Force Majeure (Turist) (2014),Drama
114552,"Boxtrolls, The (2014)",Adventure|Animation|Children|Comedy|Fantasy
114601,This Is Where I Leave You (2014),Comedy|Drama
114662,American Sniper (2014),Action|War
114678,Hector and the Search for Happiness (2014),Adventure|Comedy|Drama
114700,"Tribe, The (Plemya) (2014)",Crime|Drama
114762,Two Night Stand (2014),Comedy|Romance
114795,Dracula Untold (2014),Action|Drama|Fantasy
114847,Autómata (Automata) (2014),Sci-Fi|Thriller
114935,Predestination (2014),Action|Mystery|Sci-Fi|Thriller
115122,What We Do in the Shadows (2014),Comedy|Horror
115149,John Wick (2014),Action|Thriller
115210,Fury (2014),Action|Drama|War
115231,St. Vincent (2014),Comedy
115467,Harmontown (2014),Documentary
115569,Nightcrawler (2014),Crime|Drama|Thriller
115617,Big Hero 6 (2014),Action|Animation|Comedy
115664,"Book of Life, The (2014)",Adventure|Animation|Romance
116136,Olive Kitteridge (2014),Drama
116138,Leviathan (2014),Drama
116161,Foxcatcher (2014),Drama
116397,Stonehearst Asylum (2014),Thriller
116797,"Imitation Game, The (2014)",Drama|Thriller
116799,Inherent Vice (2014),Comedy|Crime|Drama|Mystery|Romance
116823,The Hunger Games: Mockingjay - Part 1 (2014),Adventure|Sci-Fi|Thriller
116847,United States of Secrets (Part One): The Program (2014),Documentary
116897,Wild Tales (2014),Comedy|Drama|Thriller
116977,Dumb and Dumber To (2014),Comedy
116989,Tales of the Grim Sleeper (2014),Crime|Documentary
117109,Too Many Cooks (2014),Comedy
117176,"Theory of Everything, The (2014)",Drama|Romance
117364,Virunga (2014),Documentary|War
117517,Listen Up Philip (2014),Drama
117533,Citizenfour (2014),Documentary
117590,Horrible Bosses 2 (2014),Comedy|Crime
117851,Penguins of Madagascar (2014),Adventure|Animation|Children|Comedy
117867,'71 (2014),Action|Drama|Thriller|War
117881,Still Alice (2014),Drama
118246,Clouds of Sils Maria (2014),Drama
118696,The Hobbit: The Battle of the Five Armies (2014),Adventure|Fantasy
118700,Selma (2014),Drama
118702,Unbroken (2014),Drama|War
118896,Mommy (2014),Drama
118898,A Most Violent Year (2014),Action|Crime|Drama|Thriller
118930,Bill Burr: I'm Sorry You Feel That Way (2014),Comedy
119141,The Interview (2014),Action|Comedy
119155,Night at the Museum: Secret of the Tomb (2014),Adventure|Children|Comedy|Fantasy
119432,A Thousand Times Goodnight (2014),Drama
119565,The Missing (2014),Crime|Drama|Mystery
120132,Annie (2014),Children|Comedy|Drama|Musical
120138,PK (2014),Comedy|Drama|Fantasy|Mystery|Romance
121171,Red Army (2014),Documentary
121231,It Follows (2014),Horror
121308,Goodbye to Language 3D (2014),Drama
131176,A Second Chance (2014),Drama
133897,Leopardi (2014),Drama
2015,"Absent-Minded Professor, The (1961)",Children|Comedy|Fantasy
42015,Casanova (2005),Action|Adventure|Comedy|Drama|Romance
115713,Ex Machina (2015),Drama|Sci-Fi|Thriller
117529,Jurassic World (2015),Action|Adventure|Sci-Fi|Thriller
119145,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime
120466,Chappie (2015),Action|Thriller
120635,Taken 3 (2015),Action|Crime|Thriller
122882,Mad Max: Fury Road (2015),Action|Adventure
122892,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi
125916,Fifty Shades of Grey (2015),Drama
127098,Louis C.K.: Live at The Comedy Store (2015),Comedy
127146,Kurt Cobain: Montage of Heck (2015),Documentary
127152,Going Clear: Scientology and the Prison of Belief (2015),Documentary
127188,Advantageous (2015),Children|Drama|Sci-Fi
128842,Dragonheart 3: The Sorcerer's Curse (2015),Action|Adventure|Fantasy
129354,Focus (2015),Comedy|Crime|Drama|Romance
129937,Run All Night (2015),Action|Crime|Drama|Mystery|Thriller
130448,Poltergeist (2015),Horror|Thriller
130490,Insurgent (2015),Action|Romance|Sci-Fi
130520,Home (2015),Animation|Children|Comedy|Fantasy|Sci-Fi
130578,"Gunman, The (2015)",Action|Thriller
131013,Get Hard (2015),Comedy
131656,Shaun the Sheep Movie (2015),Adventure|Animation|Children
131796,Woman in Gold (2015),Drama
132157,Paul Blart: Mall Cop 2 (2015),Comedy
132569,Comedy Central Roast of Justin Bieber (2015),Comedy
132594,A Royal Night Out (2015),Drama|Romance|Thriller
132796,San Andreas (2015),Action|Drama|Thriller
133419,Pitch Perfect 2 (2015),Comedy
133545,Just Before I Go (2015),Comedy|Drama|Romance
134170,Kung Fury (2015),Action|Comedy
134368,Spy (2015),Action|Comedy
134393,Trainwreck (2015),Comedy
134783,Entourage (2015),Comedy
134853,Inside Out (2015),Animation|Children|Comedy
135887,Minions (2015),Adventure|Animation|Children|Comedy
